eventID,type,parentEventID,eventRemarks,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum
IYS:GoA2019:Stn21:bongo:Net2,bongo net cast,IYS:GoA2019:Stn21,cast,2019-02-28T01:50:00Z,2019,2,28,56.666666666666664,-144.5,250,0,POINT  ( -144.5   56.666666666666664 ),0,WGS84
IYS:GoA2019:Stn22:bongo:Net1,bongo net cast,IYS:GoA2019:Stn22,cast,2019-02-28T09:05:00Z,2019,2,28,56.666666666666664,-143,250,0,POINT  ( -143   56.666666666666664 ),0,WGS84
IYS:GoA2019:Stn22:bongo:Net2,bongo net cast,IYS:GoA2019:Stn22,cast,2019-02-28T09:05:00Z,2019,2,28,56.666666666666664,-143,250,0,POINT  ( -143   56.666666666666664 ),0,WGS84
IYS:GoA2019:Stn23:bongo:Net1,bongo net cast,IYS:GoA2019:Stn23,cast,2019-02-28T17:23:00Z,2019,2,28,55.666666666666664,-142.99766666666667,250,0,POINT  ( -142.99766666666667   55.666666666666664 ),0,WGS84
IYS:GoA2019:Stn23:bongo:Net2,bongo net cast,IYS:GoA2019:Stn23,cast,2019-02-28T17:23:00Z,2019,2,28,55.666666666666664,-142.99766666666667,250,0,POINT  ( -142.99766666666667   55.666666666666664 ),0,WGS84
IYS:GoA2019:Stn24:bongo:Net1,bongo net cast,IYS:GoA2019:Stn24,cast,2019-03-01T01:15:00Z,2019,3,1,55.666666666666664,-144.5,250,0,POINT  ( -144.5   55.666666666666664 ),0,WGS84
IYS:GoA2019:Stn24:bongo:Net2,bongo net cast,IYS:GoA2019:Stn24,cast,2019-03-01T01:15:00Z,2019,3,1,55.666666666666664,-144.5,250,0,POINT  ( -144.5   55.666666666666664 ),0,WGS84
IYS:GoA2019:Stn25:bongo:Net1,bongo net cast,IYS:GoA2019:Stn25,cast,2019-03-01T08:30:00Z,2019,3,1,55.666666666666664,-145.99683333333334,250,0,POINT  ( -145.99683333333334   55.666666666666664 ),0,WGS84
IYS:GoA2019:Stn25:bongo:Net2,bongo net cast,IYS:GoA2019:Stn25,cast,2019-03-01T08:30:00Z,2019,3,1,55.666666666666664,-145.99683333333334,250,0,POINT  ( -145.99683333333334   55.666666666666664 ),0,WGS84
IYS:GoA2019:Stn26:bongo:Net1,bongo net cast,IYS:GoA2019:Stn26,cast,2019-03-01T16:40:00Z,2019,3,1,54.669333333333334,-145.98599999999999,250,0,POINT  ( -145.98599999999999   54.669333333333334 ),0,WGS84
IYS:GoA2019:Stn26:bongo:Net2,bongo net cast,IYS:GoA2019:Stn26,cast,2019-03-01T16:40:00Z,2019,3,1,54.669333333333334,-145.98599999999999,250,0,POINT  ( -145.98599999999999   54.669333333333334 ),0,WGS84
IYS:GoA2019:Stn27:bongo:Net1,bongo net cast,IYS:GoA2019:Stn27,cast,2019-03-02T00:50:00Z,2019,3,2,53.666666666666664,-146,250,0,POINT  ( -146   53.666666666666664 ),0,WGS84
IYS:GoA2019:Stn27:bongo:Net2,bongo net cast,IYS:GoA2019:Stn27,cast,2019-03-02T00:50:00Z,2019,3,2,53.666666666666664,-146,250,0,POINT  ( -146   53.666666666666664 ),0,WGS84
IYS:GoA2019:Stn28:bongo:Net1,bongo net cast,IYS:GoA2019:Stn28,cast,2019-03-02T08:40:00Z,2019,3,2,52.668333333333337,-146,250,0,POINT  ( -146   52.668333333333337 ),0,WGS84
IYS:GoA2019:Stn28:bongo:Net2,bongo net cast,IYS:GoA2019:Stn28,cast,2019-03-02T08:40:00Z,2019,3,2,52.668333333333337,-146,250,0,POINT  ( -146   52.668333333333337 ),0,WGS84
IYS:GoA2019:Stn29:bongo:Net1,bongo net cast,IYS:GoA2019:Stn29,cast,2019-03-02T16:45:00Z,2019,3,2,51.667166666666667,-146,250,0,POINT  ( -146   51.667166666666667 ),0,WGS84
IYS:GoA2019:Stn29:bongo:Net2,bongo net cast,IYS:GoA2019:Stn29,cast,2019-03-02T16:45:00Z,2019,3,2,51.667166666666667,-146,250,0,POINT  ( -146   51.667166666666667 ),0,WGS84
IYS:GoA2019:Stn30:bongo:Net1,bongo net cast,IYS:GoA2019:Stn30,cast,2019-03-03T01:05:00Z,2019,3,3,50.666666666666664,-146,250,0,POINT  ( -146   50.666666666666664 ),0,WGS84
IYS:GoA2019:Stn30:bongo:Net2,bongo net cast,IYS:GoA2019:Stn30,cast,2019-03-03T01:05:00Z,2019,3,3,50.666666666666664,-146,250,0,POINT  ( -146   50.666666666666664 ),0,WGS84
IYS:GoA2019:Stn31:bongo:Net1,bongo net cast,IYS:GoA2019:Stn31,cast,2019-03-03T08:50:00Z,2019,3,3,49.666666666666664,-146,250,0,POINT  ( -146   49.666666666666664 ),0,WGS84
IYS:GoA2019:Stn31:bongo:Net2,bongo net cast,IYS:GoA2019:Stn31,cast,2019-03-03T08:50:00Z,2019,3,3,49.666666666666664,-146,250,0,POINT  ( -146   49.666666666666664 ),0,WGS84
IYS:GoA2019:Stn32:bongo:Net1,bongo net cast,IYS:GoA2019:Stn32,cast,2019-03-03T17:35:00Z,2019,3,3,48.666666666666664,-146,250,0,POINT  ( -146   48.666666666666664 ),0,WGS84
IYS:GoA2019:Stn32:bongo:Net2,bongo net cast,IYS:GoA2019:Stn32,cast,2019-03-03T17:35:00Z,2019,3,3,48.666666666666664,-146,250,0,POINT  ( -146   48.666666666666664 ),0,WGS84
IYS:GoA2019:Stn33:bongo:Net1,bongo net cast,IYS:GoA2019:Stn33,cast,2019-03-04T01:45:00Z,2019,3,4,48.666666666666664,-144.5,250,0,POINT  ( -144.5   48.666666666666664 ),0,WGS84
IYS:GoA2019:Stn33:bongo:Net2,bongo net cast,IYS:GoA2019:Stn33,cast,2019-03-04T01:45:00Z,2019,3,4,48.666666666666664,-144.5,250,0,POINT  ( -144.5   48.666666666666664 ),0,WGS84
IYS:GoA2019:Stn34:bongo:Net1,bongo net cast,IYS:GoA2019:Stn34,cast,2019-03-04T09:45:00Z,2019,3,4,49.666666666666664,-144.5,250,0,POINT  ( -144.5   49.666666666666664 ),0,WGS84
IYS:GoA2019:Stn34:bongo:Net2,bongo net cast,IYS:GoA2019:Stn34,cast,2019-03-04T09:45:00Z,2019,3,4,49.666666666666664,-144.5,250,0,POINT  ( -144.5   49.666666666666664 ),0,WGS84
IYS:GoA2019:Stn35:bongo:Net1,bongo net cast,IYS:GoA2019:Stn35,cast,2019-03-04T18:17:00Z,2019,3,4,50.667833333333334,-144.50666666666666,250,0,POINT  ( -144.50666666666666   50.667833333333334 ),0,WGS84
IYS:GoA2019:Stn35:bongo:Net2,bongo net cast,IYS:GoA2019:Stn35,cast,2019-03-04T18:17:00Z,2019,3,4,50.667833333333334,-144.50666666666666,250,0,POINT  ( -144.50666666666666   50.667833333333334 ),0,WGS84
